Global X,Global Y,Global U,Global V
0,0,-1.55E-06,4.46E-06
0.5,0,-9.09E-07,2.82E-06
1,0,2.83E-08,2.38E-06
1.5,0,9.68E-07,2.83E-06
2,0,1.61E-06,4.48E-06
0,0.5,-6.10E-07,3.50E-06
0.5,0.5,-2.24E-07,2.08E-06
1,0.5,1.88E-08,1.68E-06
1.5,0.5,2.62E-07,2.08E-06
2,0.5,6.52E-07,3.52E-06
0,1,-3.70E-07,1.93E-06
0.5,1,7.70E-08,1.34E-06
1,1,8.98E-09,1.19E-06
1.5,1,-5.91E-08,1.34E-06
2,1,3.92E-07,1.95E-06
0,1.5,0,0
0.5,1.5,2.61E-08,7.46E-07
1,1.5,2.18E-09,6.23E-07
1.5,1.5,-2.27E-08,7.49E-07
2,1.5,0,0
0,2,0,0
0.5,2,0,0
1,2,0,0
1.5,2,0,0
2,2,0,0
